ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
1537522823,CJAF5z3MDFg4XVDXB,0.0.0.0,68,255.255.255.255,67,udp,dhcp,8.322388,600,0,S0,NA,NA,0,D,2,656,0,0,NA,-
1537522898,CcYEFX3Qj9xdNX1ZCa,192.168.2.1,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,391,0,0,NA,-
1537522898,CF6fCK1nFqvI1XxGM1,fe80::80e6:50ff:fe12:1464,5353,ff02::fb,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,411,0,0,NA,-
1537522898,C2dlio3MkdwWJ80y04,169.254.15.115,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,391,0,0,NA,-
1537522899,COrF0t2uLErai9nfH5,0.0.0.0,68,255.255.255.255,67,udp,dhcp,60.555587,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523028,Chy9eO1eUnF3e4DRpi,0.0.0.0,68,255.255.255.255,67,udp,dhcp,58.101145,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523212,CGfuuW3iRmQNGTxkEk,192.168.2.1,5353,224.0.0.251,5353,udp,dns,7.005272,804,0,S0,NA,NA,0,D,4,916,0,0,NA,-
1537523212,CTxFWS3JaR54AhWU0h,169.254.15.115,5353,224.0.0.251,5353,udp,dns,7.005263,804,0,S0,NA,NA,0,D,4,916,0,0,NA,-
1537523212,CAha9O35bVA8FACXxe,fe80::80e6:50ff:fe12:1464,5353,ff02::fb,5353,udp,dns,7.005255,804,0,S0,NA,NA,0,D,4,996,0,0,NA,-
1537523155,CsBodU1e1VE3u0Vk98,0.0.0.0,68,255.255.255.255,67,udp,dhcp,59.007533,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523282,CgCX302gGHXHLJEwb,0.0.0.0,68,255.255.255.255,67,udp,dhcp,60.591687,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523412,CE0nOjUQdvAHiW6O2,0.0.0.0,68,255.255.255.255,67,udp,dhcp,61.018114,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523549,CrZmX42rcVaIRmylO4,192.168.2.3,43216,176.32.98.203,80,tcp,http,0.356214,135,238,SF,NA,NA,0,ShADafF,4,315,4,406,NA,-
1537523550,CT9yHm4yFFcGqsSV55,192.168.2.3,40621,93.184.216.34,80,tcp,NA,0.33274,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523550,CZIEEo18Q2lzPpCEHc,192.168.2.3,40623,93.184.216.34,80,tcp,NA,0.300101,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523550,CpTNNy36sGjGpbFVmb,192.168.2.3,40624,93.184.216.34,80,tcp,NA,0.310657,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523549,CCJan22xKwNonoPtH7,192.168.2.3,59744,192.168.2.1,53,udp,dns,0.011518,43,111,SF,NA,NA,0,Dd,1,71,1,139,NA,-
1537523549,CJ8RGg3rePbJUyWHJa,192.168.2.3,55971,192.168.2.1,53,udp,dns,0.015621,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523549,CDHcFZ1ER7Kej3pvq2,192.168.2.3,41548,192.168.2.1,53,udp,dns,0.015581,40,104,SF,NA,NA,0,Dd,1,68,1,132,NA,-
1537523554,CIKnJb4EmQL9QDiR8k,192.168.2.3,33413,13.32.118.129,443,tcp,ssl,0.273075,684,72877,RSTO,NA,NA,0,ShADadRRR,54,3068,56,75797,NA,-
1537523552,Cc5PQFR39JLU3bqaj,192.168.2.3,54908,52.46.157.6,443,tcp,ssl,2.843592,2651,3769,SF,NA,NA,0,ShADadFf,14,3231,10,4177,NA,-
1537523550,Cf0pSM3aoWjqr6tkXa,192.168.2.3,1112,192.168.2.1,53,udp,dns,0.012246,33,49,SF,NA,NA,0,Dd,1,61,1,77,NA,-
1537523550,CsOMII162VJ8sTMPB6,192.168.2.3,16356,192.168.2.1,53,udp,dns,0.189103,37,53,SF,NA,NA,0,Dd,1,65,1,81,NA,-
1537523550,C1PUVU3AW9gZvmDTZ,192.168.2.3,1255,192.168.2.1,53,udp,dns,0.013419,36,68,SF,NA,NA,0,Dd,1,64,1,96,NA,-
1537523550,CMB6jh2FP55bt3juYb,192.168.2.3,12231,192.168.2.1,53,udp,dns,0.016521,41,57,SF,NA,NA,0,Dd,1,69,1,85,NA,-
1537523550,CDsU0j4smRMoUvsymi,192.168.2.3,39474,192.168.2.1,53,udp,dns,0.011252,33,49,SF,NA,NA,0,Dd,1,61,1,77,NA,-
1537523550,Cs24S01m8M6JQAoHmh,192.168.2.3,57819,192.168.2.1,53,udp,dns,0.013156,33,49,SF,NA,NA,0,Dd,1,61,1,77,NA,-
1537523550,CCNTSU2MAjId0jFFae,192.168.2.3,60048,192.168.2.1,53,udp,dns,0.01329,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523551,C8iBd2454E9urYfcba,192.168.2.3,43654,192.168.2.1,53,udp,dns,0.118298,37,53,SF,NA,NA,0,Dd,1,65,1,81,NA,-
1537523552,C8STjU35XgHkrzGDmk,192.168.2.3,10862,192.168.2.1,53,udp,dns,0.049276,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523552,CJSu5z4LEuXpqzCmcg,192.168.2.3,42964,192.168.2.1,53,udp,dns,0.010914,48,64,SF,NA,NA,0,Dd,1,76,1,92,NA,-
1537523553,C2fr9QG4JiM5dhpU3,192.168.2.3,31664,192.168.2.1,53,udp,dns,0.012875,44,82,SF,NA,NA,0,Dd,1,72,1,110,NA,-
1537523554,CdG4y83Y1CK1aOy1Yg,192.168.2.3,60994,192.168.2.1,53,udp,dns,0.010121,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523554,Cc6wCQ3PNrDxRxpZPh,192.168.2.3,7587,192.168.2.1,53,udp,dns,0.024474,47,111,SF,NA,NA,0,Dd,1,75,1,139,NA,-
1537523555,CGzQlOdKv3fB3Yx3,192.168.2.3,64769,192.168.2.1,53,udp,dns,0.011901,37,77,SF,NA,NA,0,Dd,1,65,1,105,NA,-
1537523560,Ckig3H3sjisdcsAzkj,192.168.2.3,45033,176.32.98.203,80,tcp,http,0.36552,157,371,SF,NA,NA,0,ShADafF,4,337,4,539,NA,-
1537523556,CLKvVF1Wiwz93Sqn8f,192.168.2.3,4362,192.168.2.1,53,udp,dns,0.011024,46,62,SF,NA,NA,0,Dd,1,74,1,90,NA,-
1537523560,CpaqKs4GdgoI7bngIe,192.168.2.3,9161,192.168.2.1,53,udp,dns,0.000775,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523560,C4Hlnv4VK1j1OGpna,192.168.2.3,1330,192.168.2.1,53,udp,dns,0.01153,32,48,SF,NA,NA,0,Dd,1,60,1,76,NA,-
1537523564,CrX4le4jRkIQYG8tbe,192.168.2.3,45407,52.119.196.25,443,tcp,ssl,2.056099,2241,5477,SF,NA,NA,0,ShADadFf,16,2901,13,6005,NA,-
